neighbourhood_n,number_of_reviews,minimum_nights,availability_365,room_type_n,Survived
8,1,30,211,1,240
52,34,2,10,1,350
3,123,3,244,1,140
7,3,30,336,1,200
6,0,30,334,0,42
20,1,4,0,0,50
12,0,1,364,0,150
88,11,2,54,0,75
12,334,1,269,1,152
6,0,30,358,0,42
41,2,4,230,1,289
7,20,1,151,0,79
52,0,7,0,1,225
10,11,4,0,1,250
10,8,2,365,1,254
77,0,7,178,1,1000
13,13,3,252,1,160
12,1,2,0,1,295
20,1,2,0,0,45
12,3,10,0,0,50
156,98,2,89,1,100
5,0,30,319,1,300
56,0,3,78,0,90
12,6,3,282,0,80
83,3,2,36,1,69
15,3,5,15,1,110
69,36,1,57,0,142
12,9,2,120,1,225
56,12,1,104,0,90
4,17,2,7,1,140
8,13,5,0,1,180
39,31,44,161,0,33
2,0,4,158,1,125
20,51,3,19,1,330
124,33,30,298,1,90
12,14,2,363,1,150
2,0,21,0,0,30
13,4,2,0,1,150
150,2,2,0,0,24
8,6,7,0,1,145
24,1,2,25,1,150
1,0,3,365,0,500
34,0,1,0,0,155
63,2,2,0,2,60
8,5,2,0,1,99
8,5,1,0,0,120
30,1,2,51,0,40
12,5,2,7,1,195
12,3,3,250,1,465
28,0,30,355,1,165
28,7,4,328,1,284
12,31,1,82,2,100
15,6,4,0,1,75
12,0,1,0,0,60
47,17,3,126,0,44
21,0,1,365,0,130
94,3,1,319,0,135
23,8,5,50,0,61
8,1,30,314,0,60
37,5,30,335,0,54
44,20,1,258,0,48
81,63,1,341,0,55
12,0,1,0,0,80
6,13,2,321,0,63
4,0,2,365,1,295
37,1,2,3,0,98
19,4,5,0,0,100
8,4,30,310,1,300
15,22,3,13,1,149
20,14,2,250,1,199
27,36,2,90,1,800
2,13,1,0,0,48
214,5,1,360,1,250
109,48,2,232,0,54
2,137,2,102,0,110
12,3,3,0,0,50
21,85,4,107,1,100
2,0,1,21,0,50
21,2,1,0,0,65
3,2,1,0,0,40
8,2,2,0,1,250
12,142,4,115,0,65
7,12,4,107,1,175
12,28,2,2,1,149
44,36,5,325,1,135
19,70,30,4,1,89
70,91,2,60,1,95
12,48,1,0,0,110
149,45,1,42,1,60
23,16,2,0,1,135
12,0,7,129,1,150
51,3,2,300,1,130
8,14,30,91,1,238
30,5,5,18,1,90
14,2,1,0,0,100
4,8,3,95,0,61
79,2,10,0,1,80
8,17,2,27,1,175
93,37,1,356,0,65
142,11,90,68,1,57
14,2,1,0,1,115
19,6,3,0,1,150
159,5,6,313,0,38
21,7,7,365,0,100
70,11,3,13,1,89
6,177,1,49,0,85
2,4,4,291,0,81
10,1,30,0,1,86
2,6,1,83,0,60
6,0,3,89,0,60
6,7,3,2,0,30
39,0,3,360,2,30
6,113,1,332,0,60
44,96,6,48,1,94
28,7,30,157,1,125
50,4,3,161,1,300
2,5,5,0,1,80
7,1,14,0,0,100
23,13,28,38,1,124
15,4,3,302,0,60
37,3,1,285,0,32
19,10,1,332,1,399
37,7,1,326,0,70
19,52,1,74,1,200
21,0,2,314,0,55
6,113,1,0,0,100
27,69,2,99,1,290
20,0,1,0,0,65
4,163,1,359,0,55
28,8,2,1,1,125
37,95,2,305,1,99
27,21,2,343,1,2250
9,1,1,0,0,91
87,12,1,51,2,34
8,0,3,0,1,200
18,2,1,0,0,40
2,20,3,55,1,120
21,5,4,364,0,60
21,2,1,0,0,49
45,1,2,0,0,75
46,16,3,359,0,68
21,2,4,179,0,199
79,39,5,282,0,53
24,0,1,0,0,400
14,1,1,0,1,150
